cost_function,value,name,level
all_time_peak_average,1.0,District,district
carbon_emissions_total,1.5536349125203697,District,district
cost_total,1.3572059721270358,District,district
daily_one_minus_load_factor_average,0.8997029935816729,District,district
daily_peak_average,0.9028216548574107,District,district
electricity_consumption_total,1.7333362782294832,District,district
monthly_one_minus_load_factor_average,0.9093468414530228,District,district
ramping_average,1.3567387319650999,District,district
zero_net_energy,10.630819987198459,District,district
electricity_consumption_total,2.3852221429646034,Building_8,building
zero_net_energy,20.08798561364334,Building_8,building
carbon_emissions_total,2.056709250757913,Building_8,building
cost_total,1.670511198406674,Building_8,building
electricity_consumption_total,1.081450413494363,Building_10,building
zero_net_energy,1.1736543607535779,Building_10,building
carbon_emissions_total,1.050560574282826,Building_10,building
cost_total,1.0439007458473974,Building_10,building
